答题序号,来源,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
100000010,腾讯文档,2,,,北京工业大学耿丹学院,是,有,没有 步行10分钟,大一晚自习可以逃,大一一整年晨练,当时可以骑车现在不确定,小学期一个月 寒假一个半月暑假一个月,学校在村里 附近没有外卖商家,最近的地铁坐公交40分钟 公交车进城一个半小时,有,不限制吧,11点断电,比公立校食堂贵,15-22点,不了解 应该不能充,不常开空调的话免费电够用,好像没有,能,刷校园卡,不会,私人超市,校门口摆摊取快递,没有共享单车,毕业啦 但应该随便进？,能回 熄灯既封寝 刷卡进门,工业风 樱花漂亮 学风一般 混学历来的 有国外交流项目 钱多速来,2022-07-25 21:02:00,,,,,,,
100000011,腾讯文档,2,,,广州城市职业学院,是,教室没有，宿舍有,有独立卫浴,没有,没有,没有要求,寒假接近2个月，暑假两个月以上,没有点过外卖，不清楚,海珠校区有地铁公交。路程只有5分钟,没有,一般般,12点断网,不算贵。没有吃出异物,晚上6点半后,不可以,不限电，但大功率电器不许用,没有去处,能,饭卡,不会,没有超市,不记得了,在校外的，共享单车,严格,11点后回不去，有宿舍阿姨,没有了,2022-07-25 22:08:11,,,,,,,
100000012,腾讯文档,1,[DESENSITIZED],2.0,内蒙古科技大学,不是,教室有,没有，大概走7分钟左右,大一有晚自习,好像有校园跑,我们这一届没有,放一个半月多？,允许，5分钟,在市区，周围很繁华,有,还不错,十一点,不贵，很干净,2023/8/20,不可以,不限电,无,能,一卡通，吃饭用二维码,会,还可以,很不错,不让进,正常,查，反正不好进,我在包头师范学院，感觉总体来说不错,2022-07-25 22:25:52,,,,,,,
100000013,腾讯文档,1,[DESENSITIZED],1.0,福建中医药大学,是，大一新生可能会有四改六，即两个上床下桌，两个上下铺,有,有独立卫浴,没有,没有,没有要求校园跑,寒假一个月，暑假两个月，没有小学期，会在大二（管理学类，公管健管）大三（中医，针灸，信管）安排暑期见习八周,允许，商家有校园配送服务的送宿舍楼下,便利，有地铁,一个宿舍一个,不限制设备数量，学校WiFi可以在除生活区外其他地方连，宿舍要办宽带,不断电断网,价格还行，有人会,24h,可以，充电桩,四人间4400w，六人间6600w,有，宿舍楼自习室,可以,一卡通，微信、支付宝（第一食堂、杏林餐厅）,会,物价超高,方便,有哈喽和青桔,需要申请电子出入证,有时候查寝,欢迎大家了解福建中医药大学红十字会!第三十六届福建中医药大学红十字会纳新群：766725490,2022-07-26 08:46:13,,,,,,,
100000014,腾讯文档,2,,,青岛理工大学琴岛学院,不是，我们的话是上床下床6人间,教室有，挺凉快的。宿舍没有,没有。如果住在广场那边其实还好，要是在八教小洋楼（是个别系的女生宿舍）那边就很远,有,大一有,没有打卡,正常放假，不会提前开学的那种,可以点,在城阳区，距离城阳区商区可以做公交车直达。但距离市北区市南区特别远。没有地铁，可以公交车转地铁。到市南区应该1个小时左右，差不多,宿舍楼没有，但有校区洗衣房,还行,10点多？好像是来着,贵点。不会,忘了具体时间了,这个不太了解,别用大功率电器，断电了要跟辅导员说的,有自习室,能，随便带,水卡，一卡通。可以刷卡，可以手机支付,没有,还行，外边也有超市,可以,没数过,已经毕业了,查，太晚的话宿舍阿姨不一定让进,尽量选其他的吧,2022-07-26 09:48:50,,,,,,,
100000015,腾讯文档,2,,,南阳理工学院,两个是，两个上下铺，上床下桌的桌子是三个连在一起，空间挺挤的,宿舍有，教室一般没有，实验室和实训室部分有,有，冷水，基本没人用，热水得去澡堂，就在宿舍旁边，,分院系大部分没有,分院系,不知道,一般都是16个教学周，因为疫情原因，平常假期不放假，加到寒暑假挺长的,🉑，北门和南门,没有，公交车挺多的，一般都是骑电车，学校在白河南边，属于城乡示范区，过了河就是主市区，不远，也就十几分钟,有，每层楼两个，还有一层有个洗衣房，挺多的,免费上网，有时会卡，日常需求足够，打游戏可以办宽带,不,跟学校外边没差别，没有,9点到22点,可以，充电桩很多，微信支付宝扫码，一元钱4小时，充满自动断电，还会退钱,不限，有免费电，用完得交钱，空调比较费，电费正常，五六毛一度,宿舍有自习室，有空调,能,洗澡只能用校园卡，也可以吃饭，微信支付宝都支持，喝水也是微信支付宝或者app,会，建行的，不知道今年变不变，学校所有的钱学费退款补助奖学金反正跟学生的账目往来都是用这个卡,两个天猫超市比较大，还有一些在宿舍餐厅的小超市,全在菜鸟驿站，京东和顺丰的点也在旁边,宿舍有免费的自行车，登记一下就可以用,疫情期间啥都别想了，越来越严，只能请假外出,每天都查，一般是22点，有情况不在需要和辅导员说明，除非大一不在，否则只要你在学校一天就查一天，严的很,校园挺大的，今年又建了个新校区，在东边，据说要把人文学科专业搬过去，挺好的，两个大操场，绿植挺多的，还有各种广场，学风挺好的，图书馆现在都是在学习通提前预约，不需要抢座，一般都开门，只要你想学，随便找个空教室就可以，没人管你，还有很多枇杷树，随便吃,2022-07-26 11:33:03,,,,,,,
100000016,腾讯文档,2,,,广东工业大学华立学院,不是,教室没有,有,有,没有,没有,45天,允许，送到楼下,20分钟到地铁站,有,一般，限制,11:30:00,一般，有,2023/5/12,不能,不清楚,无,能,一卡通，可微信支付宝,发,还行,有驿站,无,不清楚,以前不查，现在查,退钱,2022-07-26 16:04:33,,,,,,,
100000017,腾讯文档,2,,,河南职业技术学院,六人间，两个上床下桌，两个上下铺,宿舍在我毕业的时候还没有装空调，但是有暖气。教室有空调。,宿舍内每层楼有两个单独的洗澡间。,没有,印象中没有，可能有少数几次升旗仪式。但是同宿舍的朋友参加了学生会，她们每天早上都要晨跑。,没有跑步打卡要求。,寒暑假加起来大概是三到四个月。,允许，都是在学校的门口取的，离宿舍不算特别远。,比较便利，有地铁，不在市区，龙子湖校区坐地铁进城大概半小时。,有,限制两台设备，网速还可以。,不断电不断网,价格还可以，吃出过一两次异物,没有限制时间,可以，充电的地方大概是在车棚，没有接触过，不太清楚,限大功率电器，具体瓦数记不清了,图书馆从我入校第二年开始整修，到我毕业也没有修完，所以我的印象中是没有可以通宵自习的去处。,能,可以用一卡通，也可以扫码支付。,会,还可以,有菜鸟驿站，但是离宿舍很远,没有共享单车,封校,不查寝，晚归回宿舍要经过宿舍门卫阿姨处登记。,没什么特别想说的,2022-07-26 21:13:03,,,,,,,
100000018,腾讯文档,2,,,青岛滨海学院,不是,教室连风扇都没有 谢谢    宿舍有空调,无   很远 要爬半个坡,有晚自习,有！,无,记不清了,不允许！,有,有,没用校园网,晚10:30断电！,一般,具体不清楚,不清楚,大功率就不行,无,能,饭卡,会,还行,还可以,无,真是“非常好”,查,……,2022-07-26 22:34:36,,,,,,,
100000019,腾讯文档,1,[DESENSITIZED],2.0,浙江大学城市学院,是,有,有独立卫浴，没有澡堂,大一有早晚自习，有些分院有早晚自习，不一定要上,没有,每学期需跑步100公里左右，男女生要求不同，不能骑车,每年校历不一样,允许，取外卖的地方离宿舍楼几百米,地铁站离学校一两公里，进繁华城区需半小时左右,有,一般般，凌晨偶尔限速,不断,大食堂不贵，有吃出异物的几率,全天,可以，校内有多个充电桩,不限电,不清楚,能,实体校园卡或支付宝绑定校园卡,会,偶尔会有不同的超市入驻,有菜鸟驿站,哈啰共享单车很多,宿舍门禁为工作日晚上11点至早上6点,不查寝不封寝，晚归会发白卡,社团师资还可以，只是学校名气小，资源不多，不建议野心家来读,2022-07-31 22:29:54,,,,,,,
100000020,腾讯文档,2,,,廊坊师范学院,不是,全都是电扇，只有部分教室有空调，还是那种特别老旧的,8.9.10都离澡堂很近，几乎挨着,外院大一有晚自习,没有,没有要求,没疫情的时候是寒假1个月，暑假2个月，小学期实践大概两三周,现在不知道，没疫情的时候外卖可以送到宿舍楼门口，后来可以送到学校门口去取，现在看样子是不能点了,还算便利，没地铁，可以打车也可以坐公交，就在城里,公用洗衣机，一层楼四个左右,校园网很难登上去,11点是规定的断电点，周五周六不断电,新食堂有点贵吧，鑫逸淼的米饭真的巨便宜，我吃到过5块两个菜的,好像是到晚上十点吗？不太清楚了,不能骑电车,大功率会断电,没试过,能,一卡通，可以用支付宝，也可以用建行,学费好像是规定建行卡交,一般般,同上,无,不清楚了,11点阿姨会锁门,没啥想说的了，祝大家好好享受大学生活,2022-08-01 21:40:30,,,,,,,
100000021,腾讯文档,2,,,湖北师范大学,否,宿舍有空调，教室没有,没有,每周日晚自习，很烦,无,无,没有,允许，外卖送到宿舍楼下,没地铁，算是在市区,有，一层楼两个,限制设备数量，并且几乎强制办理校园网,冬天23：00,小贵 会,18：00以后,可以,300W,无,可以,校园卡,会,贵,无,无,封闭管理,每周查寝,快跑！,2022-08-03 20:11:25,,,,,,,
100000022,腾讯文档,1,[DESENSITIZED],1.0,鹤壁职业技术学院,4个上床下桌，两个上下铺,有,有独立卫生间，公共浴室离宿舍很近,没有早自习，大一有晚自习,大一有,第一学期为40，第二学期为60，每年都有，不可以骑车刷公里数，但平时上课可以骑车,一般寒暑假放2个月左右，每年小学期为20周左右,允许，一般在校门口接外卖，离宿舍不远,交通便利有高铁，有火车，在市区,有，公共洗衣机，一般洗衣3元,校园网还不错,不会断网,不贵一般午饭最高不会超过30元，放心，食堂很干净，但是建议如果想带回宿舍吃的准备餐具,11：00～20：00,可以骑，在超市后面，有专用的充电桩，一学期一次性交50元，扫码充电，不过学校有共享单车，3分钟0.5元,不可以超过220V,可以在宿舍通宵学习,可以,学校可能会发中国建设银行的二级校园卡，饭堂微信，支付宝，云闪付都可以，洗衣机，吹风机，饮水机为支付宝付款,可能会，但建议用自己的银行卡,超市很不错，但南校区的最好,快递驿站营业时间为9：00～20：00，手机上必需有菜鸟APP，身份码取件,有单人车，也有双人车,宿舍：周一到周五6：00～8：00，9：40～14：20，16：10～22：00可以随意进出，周六周日6：00～22：00随意进出，出学校大门要有假条（疫情期间）,查寝，封寝，能，但避免不了辅导员和学校的惩罚,校园环境不错，有鹅，鱼，鸭子，学风良好，建议在大学不要真心对待每个人,2022-08-05 19:16:54,,,,,,,
100000023,腾讯文档,2,,,武汉学院,是,有，教室2个，机房4个,有,大一有，可以锁,无,无要求,别的不清楚，但是以信工为例，开学最早，放学最晚，参照物是全湖北的学校。,疫情期间，没有以前自由，但是外卖可以送楼下，不能送楼下的送到北门自己拿,有地铁，去主要地区车费一次5块到7块，一去一来地铁14,每层一个洗衣机一个烘干机，但是据我所知有好几个都是坏的。没人维修，甚至坏了给你拖走，你这一层就啥都没了，点名珠峰2舍,又贵又垃圾，不过是通病。全国的通病，有人不管你也没办法,不,相比公办大学，价格高不少，公办大学10元以内吃饱，这边能吃的起步价15,8-9  12-1  6.30-12.00,有不少学生的电瓶车在学校跑。不知道在哪充电,理论500瓦。每学期有查大功率电器的,别说通宵，平时自习都没几个好地方，基本上只能去图书馆。希望学校开放教室给别人自习,可,一卡通，饭卡，电卡，水卡。消费也可以用微信校园卡，进寝室可以用nfc，前提是手机是华为。小米，ov不可以，其他的不知道。因为是金融加密nfc,2019级发的工行卡,种类丰富，但是面积太小。很拥挤，价格上经常购物的需要个人小资水平，反正不算便宜,菜鸟驿站可以收三通一达和其他快递，顺丰单独的点，京东在菜鸟里面，顺丰可以叫人送寝室，菜鸟的包括京东可以让智能物流车派送,禁止共享单车，学校外面有哈罗,本人经常去图书馆，早上七点起床，在这时候已经开门，晚上十点回来。寝室大门已经拉上一半了。听说有人翻墙进来,每学期一到两次查寝。晚归要登记,"学风很差，社团cjb，师资一般，校园环境小而精致。总而言之，不建议来。第一，学风考风差，我们班的绩点第一居然是作弊来的，一个班三年我才知道，还是因为坐卧附近。很难找到志同道合的学习伴侣，不到期末图书馆的位置永远坐不满。我五楼自习，谁来谁不来，谁生面孔熟面孔我都知道，就这个程度。反正学习氛围差，是整体而言，但是有个别逆天，就像草鸡里面有个凤凰。两极分化严重。
第二，师资，上了大学才知道，也有可能是大学不好，大学老师都一群emm，，，我信工的，反正老师这不懂那不懂的，蛮无语，天天盯着一个破蓝桥杯，蓝桥杯LQB，又称捞钱杯，学校有个一本招生专业，学费贵5000每年，但是入学给2万奖学金，说不好听专门骗一本生来读三本，和我们普通二类没区别，二本20000，一本25000，一本入学奖2万，学校的教材我别的大学不知道，反正我们用的专业教材全sb，图书馆那种权威著作，软工的话，一个人都可以找了抱完。总而言之，没有去处了可以来，来之前看一下民办大学排行榜，武汉学院鼓吹自己前几名。实际上是三类的前几名，民办大学还有一类榜单和二类榜单。望周知）",2022-08-11 18:40:53,,,,,,,
100000024,腾讯文档,2,,,华北理工大学轻工学院,四人间是六人间两个是,没有,没有独立卫浴离宿舍不远两三分钟走到,无,大一材化系下半学期跑别的不用,没有,就正常放一年三个月左右,可以，可以送到宿舍也可以下楼栅栏取,没有地铁县级市不过学校门口好多共享电动车,有一层两个,白天还好晚上卡,十一点有的时候不断,还可以本人没吃过异物,早上九点到晚上十点,可以有充电桩,不太清楚但是宿舍一块充上电脑是没问题的,无,可以,微信支付宝可以办校园卡都可以支付,会,建议买快递,方便有菜鸟驿站,不清楚,晚上十一点,大一偶尔查,避开宿工会的某些张简直。。。。点到为止,2022-08-14 11:45:49,,,,,,,
100000025,腾讯文档,2,,,西北师范大学,是，标准的上床下桌,无,有独立卫生间，但没有独立卫浴，澡堂就在宿舍楼下,没有,没有,好像是一万公里,寒暑假有30到40天，每个学期有20周,允许，下楼就可以取外卖,交通便利，公交车非常的多。有地铁，但需要先乘坐公交车到兰州海关。学校就在安宁市区,宿舍楼下就有,校园网之前比较卡，现在更新设备以后速度挺快的，通常一个账号可以登录一个手机和一个电脑。,周天到周四每晚12点断电，周五到周六晚上都不断电,食糖价格还算优惠，还没有遇到吃出异物的情况,洗澡如果去澡堂的话，随时都有,校园内可以骑电瓶车,没有，如果宿舍的电卡没电了，可以到宿管那里去免费刷卡,通常情况教学楼晚上是会锁门的,可以带,最爱用到的卡有电卡、水卡、校园卡，食堂可以用手机刷卡消费，但是需要下载软件。,本科是会发银行卡的，研究生没有发,学校的超市有很多，住宿区也有不少,宿舍区有多种多样的快递点，挺方便的,校园内没有共享单车,通常情况十一点会有门禁，但是刷卡还是可以进,查寝主要是由学校、学院负责，晚上一般是没有的，晚归仍然可以回去。,社团的种类很多，总有一个会是你喜欢的,2022-08-15 15:32:37,,,,,,,
100000026,腾讯文档,2,,,哈尔滨医科大学,4人间是，女生有4/6/8人间，男生有4/6人间,没有，但有暖气,no，有隔间,没有早自习，早上八点上课，有晚自习，大约是6点到8点,无,无，学校有共享单车,正常放假，,允许，不远,在龙凤区，离商城不远，与东石油和八一农垦临近,有，扫码支付,不知道,断,食堂有一个，最近在翻新，有很多食物很好吃，推荐炒饭,早上八九点开始，,可以吧，这个不知道,限，大功率电器不可,有,🉑,移动，联通，电信都可，食堂吃饭用支付宝，价格正常,no，自己办，不过校内有银行点,生活用品一般都有,看疫情，和上面安排了,不知道,看疫情程度，严重就封校,查,我在大庆校区，不在本校区，over！,2022-08-20 01:02:41,,,,,,,
100000027,腾讯文档,2,,,华南农业大学珠江学院,大部份是，新建的小部份不是,都有,每个宿舍独立卫浴,大一一年有,🈚️,没要求,寒暑假正常差不多放，但最近这个学期比较抽筋会晚放早回，每学期18周,校外外卖不进校（当然有商家会偷偷递）校内饿了么不上楼,不便利，要打车去地铁站，去市区14号线最快1小时,每个宿舍都有,绑定限制两台，多余设备要解绑，网速慢价格贵，但好在稳定,不断电断网,小小贵，有异物但少,17:30-19:30；21:00-23:00（过时间还有一点）,可以骑，但是很麻烦不建议,有钱就行，不限电,自习室10点赶人,可以,用手机支付,会统一办理,多，价格也有不一样，平均比外卖贵1块,有很多站点基本送的进来,不允许,第二天是工作日或者调休日就23:00门禁晚归记过，第二天是周末或者节假日24:00 基本不查夜不归宿除非被小人告状或者倒霉,看老师心情但基本不查，查也会有小道消息传出来，门禁过了封楼，晚归记过,快跑！,2022-09-07 20:29:35,,,,,,,
100000028,腾讯文档,2,,,长沙卫生职业学院,是，但是2022扩招有6人寝，上下床,宿舍有,4人寝有，6人寝没有,没，有,没,无,正常,学校偏僻，,不便利，2～3小时,有自助洗衣机,不咋样,不,正常,11点无,能,无,无,能,一卡通，学生卡，微信支付,中国银行,还行,免费，快递站远,无,6-10.30,查,学校很大，老师很好,2022-09-18 23:06:48,,,,,,,
100000029,腾讯文档,2,,,承德护理职业学院,不是,没有,没有 不远,有,没有,没有,2个月,不行 封校,在市区 但是封校,有,还行,不断电,正常,看情况,不行,不断电 大功率电器禁,没有,可以,水卡饭卡,不会,可以,很好,没有,封校,查寝 说好话能回,管的严,2022-10-15 17:40:07,,,,,,,
100000030,腾讯文档,2,,,仙桃职业学院,分宿舍，新宿舍楼不是,教室没有,独立卫浴,没有,无,无,1，2，4,允许，校门口拿,不在市区,有,还行，限制数量,不断,看个人吧，有异物,不限,可以,800,无,可以,vx支付宝,不发,一般,每个快递有单独快递点,没有,封校不让出,不查,挺一般，仙桃本来就是个小位置，如果不是湖北技能高考的就没必要来了,2022-10-16 01:54:46,,,,,,,
100000031,腾讯文档,2,,,燕山大学,西校区不是 六人间上下床 东校区部分是六人间 两张上下床两张上床下桌的那种,无,无 澡堂离得不算近也不算远 西校区最远的宿舍路程不到十分钟,无早自习 大一有晚自习,无,女60及格120满分 男90及格150满分 好像可以骑车 亲测可以走,因为疫情寒假有一个半月多吧 暑假两个月 无小学期,大部分时间允许 市里疫情形势严峻的时候不允许 离得不算近,便利 无地铁 在市区 但不算市中心 周围有商场 很近很近,有,还可以 时好时坏,不断电 23:30断网,一般 有的窗口便宜 我没吃到过,7:00到22:00,可以 有共享电动车 有充电桩 不过很少很少 需要半夜三点起来抢的那种,大功率电器都不太行,好像没有,能,校园一卡通 扫码支付,会,规模不小 价格据说略高 不建议买日用品,还不错 拿快递比较方便 快递点离得都不远,数目一般 上课时间很难找 都是小鲁班,绝大部分时间不让出去,有时查但不严 好像封 大概可以,学校在河北省内还是公认的比较强的高校 校内有益禾堂 沪上阿姨 幸运咖 蜜雪冰城 瑞幸这种冷饮店 校内还有座小山能爬 地理位置不错 东区图书馆甚至能看到海 只不过一直在封校禁止出门 而且一有疫情就线上上课线下考试 可以权衡一下利弊,2022-11-25 16:15:50,,,,,,,
